Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-09-10,Jurassic Park,1993,https://boxd.it/7ijI9H,5,Yes,,2024-09-09
2024-09-10,The Lost World: Jurassic Park,1997,https://boxd.it/7in0WN,5,,,2024-09-09
2024-09-10,Jurassic Park III,2001,https://boxd.it/7iqTl9,4.5,,,2024-09-09
2024-09-11,Jurassic World,2015,https://boxd.it/7iJ7bX,5,Yes,,2024-09-10
2024-09-11,Jurassic World: Fallen Kingdom,2018,https://boxd.it/7iM6uv,5,,,2024-09-10
2024-09-12,Jurassic World Dominion,2022,https://boxd.it/7jaIoN,5,Yes,,2024-09-11
2024-09-16,The Descendants,2011,https://boxd.it/7kUYqr,3,,,2024-09-15
2024-09-16,The Italian Job,2003,https://boxd.it/7l0uch,3.5,,,2024-09-15
2024-09-17,Whiplash,2014,https://boxd.it/7ltf3R,3.5,,,2024-09-16
2024-09-25,Speak No Evil,2022,https://boxd.it/7oWMoD,1.5,,,2024-09-20
2024-09-25,Eden Lake,2008,https://boxd.it/7oWMVH,2,,,2024-09-20
2024-09-25,Fracture,2007,https://boxd.it/7oWBL7,4.5,Yes,,2024-09-24
2024-09-27,Once Upon a Time... in Hollywood,2019,https://boxd.it/7pGRMd,3.5,,,2024-09-26
2024-09-30,Borat Subsequent Moviefilm,2020,https://boxd.it/7r5hCF,4,,,2024-09-29
2024-10-04,The Machinist,2004,https://boxd.it/7sRJP3,4,,,2024-10-03
2024-10-07,The Ministry of Ungentlemanly Warfare,2024,https://boxd.it/7usrE5,4,,,2024-10-06
2024-10-10,Bullet Train,2022,https://boxd.it/7vSeIp,3,,,2024-10-09
2024-10-11,Challengers,2024,https://boxd.it/7wvJpV,3,,,2024-10-10
2024-10-13,Barbie,2023,https://boxd.it/7xdXAh,2.5,,,2024-10-12
2024-10-16,The Terminal,2004,https://boxd.it/7yVcE9,4.5,,,2024-10-15
2024-10-21,The Godfather Part II,1974,https://boxd.it/7Bukpp,4,,,2024-10-20
2024-10-26,The Spanish Prisoner,1997,https://boxd.it/7DScER,4,,,2024-10-25
